StudyID,Set,Item,x,y,QCd,QC_x,QC_y
1,1,boots,5,8,OK,OK,OK
1,1,cat,3,4,OK,OK,OK
1,1,crab,7,6,OK,OK,OK
1,1,dolphin,5,6,OK,OK,OK
1,1,flamingo,6,1,OK,OK,OK
1,1,hotdog,10,10,OK,OK,OK
1,1,ice cream,3,8,OK,OK,OK
1,1,onion,2,10,OK,OK,OK
1,1,owl,5,4,OK,OK,OK
1,1,pajamas,6,10,OK,OK,OK
1,1,pumpkin,10,1,OK,OK,OK
1,1,sandals,7,4,OK,OK,OK
1,1,scarf,1,8,OK,OK,OK
1,1,shorts,10,8,OK,OK,OK
1,1,spaghetti,9,6,OK,OK,OK
1,1,sunglasses,8,9,OK,OK,OK
1,1,turtle,1,1,OK,OK,OK
1,1,watermelon,1,6,OK,OK,OK
1,2,cow,9,7,OK,OK,OK
1,2,chicken,7,8,OK,OK,OK
1,2,pig,3,6,OK,OK,OK
1,2,mouse,10,10,OK,OK,OK
1,2,butterfly,5,3,OK,OK,OK
1,2,penguin,3,3,OK,OK,OK
1,2,watering can,7,3,OK,OK,OK
1,2,wheelbarrow ,7,1,OK,OK,OK
1,2,shovel,6,10,OK,OK,OK
1,2,broom,2,8,OK,OK,OK
1,2,scissors,3,10,OK,OK,OK
1,2,hammer,9,5,OK,OK,OK
1,2,apple,10,1,OK,OK,OK
1,2,lettuce,4,1,OK,OK,OK
1,2,corn,8,10,OK,OK,OK
1,2,pineapple,5,5,OK,OK,OK
1,2,mushroom,5,8,OK,OK,OK
1,2,walnut,1,5,OK,OK,OK
2,1,boots,2,5,OK,OK,OK
2,1,cat,1,4,OK,OK,OK
2,1,crab,7,1,OK,OK,OK
2,1,dolphin,6,1,OK,OK,OK
2,1,flamingo,1,6,OK,OK,OK
2,1,hotdog,3,1,OK,OK,OK
2,1,ice cream,2,3,OK,OK,OK
2,1,onion,3,7,OK,OK,OK
2,1,owl,3,3,OK,OK,OK
2,1,pajamas,5,3,OK,OK,OK
2,1,pumpkin,2,1,OK,OK,OK
2,1,sandals,1,3,OK,OK,OK
2,1,scarf,6,4,OK,OK,OK
2,1,shorts,5,10,OK,OK,OK
2,1,spaghetti,4,5,OK,OK,OK
2,1,sunglasses,8,2,OK,OK,OK
2,1,turtle,6,3,OK,OK,OK
2,1,watermelon,8,4,OK,OK,OK
2,2,cow,6,9,OK,OK,OK
2,2,chicken,1,7,OK,OK,OK
2,2,pig,3,1,OK,OK,OK
2,2,mouse,5,2,OK,OK,OK
2,2,butterfly,5,7,OK,OK,OK
2,2,penguin,5,4,OK,OK,OK
2,2,watering can,3,8,OK,OK,OK
2,2,wheelbarrow ,2,4,OK,OK,OK
2,2,shovel,1,5,OK,OK,OK
2,2,broom,7,6,OK,OK,OK
2,2,scissors,3,3,OK,OK,OK
2,2,hammer,3,5,OK,OK,OK
2,2,apple,9,1,OK,OK,OK
2,2,lettuce,1,3,OK,OK,OK
2,2,corn,7,2,OK,OK,OK
2,2,pineapple,7,4,OK,OK,OK
2,2,mushroom,9,3,OK,OK,OK
2,2,walnut,2,5,OK,OK,OK
3,1,boots,8,1,OK,OK,OK
3,1,cat,4,1,OK,OK,OK
3,1,crab,3,2,OK,OK,OK
3,1,dolphin,3,3,OK,OK,OK
3,1,flamingo,2,1,OK,OK,OK
3,1,hotdog,9,5,OK,OK,OK
3,1,ice cream,10,5,OK,OK,OK
3,1,onion,1,10,OK,OK,OK
3,1,owl,1,1,OK,OK,OK
3,1,pajamas,4,7,OK,OK,OK
3,1,pumpkin,3,10,OK,OK,OK
3,1,sandals,9,1,OK,OK,OK
3,1,scarf,10,10,OK,OK,OK
3,1,shorts,10,1,OK,OK,OK
3,1,spaghetti,2,10,OK,OK,OK
3,1,sunglasses,1,3,OK,OK,OK
3,1,turtle,3,1,OK,OK,OK
3,1,watermelon,5,10,Changed,4,10
3,2,cow,4,9,OK,OK,OK
3,2,chicken,2,8,OK,OK,OK
3,2,pig,1,8,OK,OK,OK
3,2,mouse,4,9,Changed,3,9
3,2,butterfly,2,9,OK,OK,OK
3,2,penguin,3,8,OK,OK,OK
3,2,watering can,10,10,OK,OK,OK
3,2,wheelbarrow ,9,5,OK,OK,OK
3,2,shovel,10,5,OK,OK,OK
3,2,broom,1,1,OK,OK,OK
3,2,scissors,7,10,OK,OK,OK
3,2,hammer,1,4,OK,OK,OK
3,2,apple,9,1,OK,OK,OK
3,2,lettuce,10,9,OK,OK,OK
3,2,corn,7,1,OK,OK,OK
3,2,pineapple,8,1,OK,OK,OK
3,2,mushroom,9,10,OK,OK,OK
3,2,walnut,10,1,OK,OK,OK
4,1,boots,9,6,OK,OK,OK
4,1,cat,5,5,OK,OK,OK
4,1,crab,3,8,OK,OK,OK
4,1,dolphin,6,4,OK,OK,OK
4,1,flamingo,3,5,OK,OK,OK
4,1,hotdog,3,9,OK,OK,OK
4,1,ice cream,2,7,OK,OK,OK
4,1,onion,1,10,OK,OK,OK
4,1,owl,3,1,OK,OK,OK
4,1,pajamas,1,4,OK,OK,OK
4,1,pumpkin,6,5,OK,OK,OK
4,1,sandals,10,1,OK,OK,OK
4,1,scarf,6,8,OK,OK,OK
4,1,shorts,6,6,OK,OK,OK
4,1,spaghetti,7,2,OK,OK,OK
4,1,sunglasses,6,7,OK,OK,OK
4,1,turtle,7,5,OK,OK,OK
4,1,watermelon,1,8,OK,OK,OK
4,2,cow,2,8,OK,OK,OK
4,2,chicken,8,3,OK,OK,OK
4,2,pig,10,1,OK,OK,OK
4,2,mouse,6,9,OK,OK,OK
4,2,butterfly,10,10,OK,OK,OK
4,2,penguin,1,10,OK,OK,OK
4,2,watering can,4,5,OK,OK,OK
4,2,wheelbarrow ,10,5,OK,OK,OK
4,2,shovel,1,5,OK,OK,OK
4,2,broom,1,3,OK,OK,OK
4,2,scissors,4,10,OK,OK,OK
4,2,hammer,8,6,OK,OK,OK
4,2,apple,1,1,OK,OK,OK
4,2,lettuce,6,7,OK,OK,OK
4,2,corn,5,2,OK,OK,OK
4,2,pineapple,7,5,OK,OK,OK
4,2,mushroom,8,9,OK,OK,OK
4,2,walnut,4,7,OK,OK,OK
5,1,boots,7,2,OK,OK,OK
5,1,cat,8,4,OK,OK,OK
5,1,crab,10,1,OK,OK,OK
5,1,dolphin,9,2,OK,OK,OK
5,1,flamingo,6,6,OK,OK,OK
5,1,hotdog,10,10,OK,OK,OK
5,1,ice cream,9,5,OK,OK,OK
5,1,onion,4,4,OK,OK,OK
5,1,owl,9,7,OK,OK,OK
5,1,pajamas,2,5,OK,OK,OK
5,1,pumpkin,10,4,OK,OK,OK
