StudyID,Set,Item,x,y,QC_x,QC_y
14,1,tiger,1,10,ok,ok
14,1,bear,3,3,ok,ok
14,1,giraffe,10,5,ok,ok
14,1,kangaroo,7,7,ok,ok
14,1,gorilla,10,1,ok,ok
14,1,cow,3,7,ok,ok
14,1,sheep,10,10,ok,ok
14,1,rabbit,1,1,ok,ok
14,1,horse,6,3,ok,ok
14,1,pig,4,5,ok,ok
14,2,sandwich,3,8,ok,ok
14,2,pasta,8,5,ok,ok
14,2,rice,10,1,ok,ok
14,2,corn,2,4,ok,ok
14,2,pizza,1,10,ok,ok
14,2,waffle,5,4,ok,ok
14,2,bagel,8,9,ok,ok
14,2,toast,5,1,ok,ok
14,2,cereal,1,1,ok,ok
14,2,muffin,10,10,ok,ok
14,3,camel,10,10,ok,ok
14,3,zebra,5,1,ok,ok
14,3,hippo,1,1,ok,ok
14,3,lion,4,4,ok,ok
14,3,elephant,2,6,ok,ok
14,3,penguin,10,1,ok,ok
14,3,flamingo,7,3,ok,ok
14,3,peacock,1,10,ok,ok
14,3,parrot,5,8,ok,ok
14,3,owl,7,1,ok,ok
14,4,pretzels,1,10,ok,ok
14,4,crackers,5,1,ok,ok
14,4,popcorn,1,1,ok,ok
14,4,breadsticks,7,3,ok,ok
14,4,granolabar,7,5,ok,ok
14,4,peas,7,1,ok,ok
14,4,babycarrots,9,4,ok,ok
14,4,cherrytomatoes,3,1,ok,ok
14,4,grapes,9,1,ok,ok
14,4,apple,10,10,ok,ok
10,1,tiger,2,1,ok,ok
10,1,bear,2,10,ok,ok
10,1,giraffe,10,1,ok,ok
10,1,kangaroo,10,10,ok,ok
10,1,gorilla,1,10,ok,ok
10,1,cow,6,1,ok,ok
10,1,sheep,5,1,ok,ok
10,1,rabbit,7,3,ok,ok
10,1,horse,9,1,ok,ok
10,1,pig,5,5,ok,ok
10,2,sandwich,4,3,ok,ok
10,2,pasta,8,3,ok,ok
10,2,rice,3,5,ok,ok
10,2,corn,4,1,ok,ok
10,2,pizza,5,3,ok,ok
10,2,waffle,9,1,ok,ok
10,2,bagel,4,5,ok,ok
10,2,toast,10,1,ok,ok
10,2,cereal,7,3,ok,ok
10,2,muffin,7,6,ok,ok
10,3,camel,2,4,ok,ok
10,3,zebra,3,4,ok,ok
10,3,hippo,7,5,ok,ok
10,3,lion,7,1,ok,ok
10,3,elephant,6,5,ok,ok
10,3,penguin,5,1,ok,ok
10,3,flamingo,4,1,ok,ok
10,3,peacock,1,1,ok,ok
10,3,parrot,2,1,ok,ok
10,3,owl,3,1,ok,ok
10,4,pretzels,5,1,ok,ok
10,4,crackers,6,6,ok,ok
10,4,popcorn,1,1,ok,ok
10,4,breadsticks,6,1,ok,ok
10,4,granolabar,5,6,ok,ok
10,4,peas,3,1,ok,ok
10,4,babycarrots,6,3,ok,ok
10,4,cherrytomatoes,5,3,ok,ok
10,4,grapes,2,1,ok,ok
10,4,apple,4,3,ok,ok
16,1,tiger,3,9,ok,ok
16,1,bear,1,10,ok,ok
16,1,giraffe,6,5,ok,ok
16,1,kangaroo,1,1,ok,ok
16,1,gorilla,5,8,ok,ok
16,1,cow,10,1,ok,ok
16,1,sheep,8,9,ok,ok
16,1,rabbit,8,2,ok,ok
16,1,horse,3,2,ok,ok
16,1,pig,10,10,ok,ok
16,2,sandwich,5,5,ok,ok
16,2,pasta,1,10,ok,ok
16,2,rice,10,1,ok,ok
16,2,corn,4,7,ok,ok
16,2,pizza,10,10,ok,ok
16,2,waffle,3,7,ok,ok
16,2,bagel,2,1,ok,ok
16,2,toast,5,7,ok,ok
