pair,TrainedUntrainedWithinCamp,WithinBetweenTheme,camp_from
cricket_carrots,AcrossThemeComparison,Between,across
cricket_centipide,Untrained-Foil,Within,bugs
cricket_ladybug,Trained-Untrained,Within,bugs
cricket_lettuce,AcrossThemeComparison,Between,across
cricket_peas,AcrossThemeComparison,Between,across
cricket_potato,AcrossThemeComparison,Between,across
cricket_pumpkin,AcrossThemeComparison,Between,across
cricket_spider,Untrained-Foil,Within,bugs
cricket_tomato,AcrossThemeComparison,Between,across
ladybug_avocado,AcrossThemeComparison,Between,across
ladybug_beans,AcrossThemeComparison,Between,across
ladybug_beetle,Trained-Untrained,Within,bugs
ladybug_bellpepper,AcrossThemeComparison,Between,across
ladybug_carrots,AcrossThemeComparison,Between,across
ladybug_lettuce,AcrossThemeComparison,Between,across
ladybug_peas,AcrossThemeComparison,Between,across
ladybug_potato,AcrossThemeComparison,Between,across
ladybug_pumpkin,AcrossThemeComparison,Between,across
ladybug_spider,Trained-Foil,Within,bugs
ladybug_tomato,AcrossThemeComparison,Between,across
lettuce_beans,Trained-Foil,Within,plants
lettuce_bellpepper,Untrained-Foil,Within,plants
lettuce_carrots,Foil-Foil,Within,plants
lettuce_peas,Trained-Foil,Within,plants
lettuce_potato,Foil-Foil,Within,plants
lettuce_tomato,Untrained-Foil,Within,plants
peas_carrots,Trained-Foil,Within,plants
peas_tomato,Trained-Untrained,Within,plants
potato_carrots,Foil-Foil,Within,plants
potato_peas,Trained-Foil,Within,plants
potato_tomato,Untrained-Foil,Within,plants
pumpkin_avocado,Trained-Untrained,Within,plants
pumpkin_beans,Trained-Trained,Within,plants
pumpkin_bellpepper,Trained-Untrained,Within,plants
pumpkin_carrots,Trained-Foil,Within,plants
pumpkin_lettuce,Trained-Foil,Within,plants
pumpkin_peas,Trained-Trained,Within,plants
pumpkin_potato,Trained-Foil,Within,plants
pumpkin_tomato,Trained-Untrained,Within,plants
spider_avocado,AcrossThemeComparison,Between,across
spider_beans,AcrossThemeComparison,Between,across
spider_bellpepper,AcrossThemeComparison,Between,across
spider_carrots,AcrossThemeComparison,Between,across
spider_lettuce,AcrossThemeComparison,Between,across
spider_peas,AcrossThemeComparison,Between,across
spider_potato,AcrossThemeComparison,Between,across
spider_pumpkin,AcrossThemeComparison,Between,across
spider_tomato,AcrossThemeComparison,Between,across
tick_avocado,AcrossThemeComparison,Between,across
tick_beans,AcrossThemeComparison,Between,across
tick_beetle,Untrained-Foil,Within,bugs
tick_bellpepper,AcrossThemeComparison,Between,across
tick_butterfly,Trained-Foil,Within,bugs
tick_carrots,AcrossThemeComparison,Between,across
tick_centipide,Foil-Foil,Within,bugs
tick_cricket,Untrained-Foil,Within,bugs
tick_ladybug,Trained-Foil,Within,bugs
tick_lettuce,AcrossThemeComparison,Between,across
tick_peas,AcrossThemeComparison,Between,across
tick_potato,AcrossThemeComparison,Between,across
tick_pumpkin,AcrossThemeComparison,Between,across
tick_spider,Foil-Foil,Within,bugs
tick_tomato,AcrossThemeComparison,Between,across
tomato_carrots,Untrained-Foil,Within,plants
