pair,TrainedUntrainedWithinCamp,WithinBetweenTheme,camp_from
ant_avocado,AcrossThemeComparison,Between,across
ant_beans,AcrossThemeComparison,Between,across
ant_beetle,Untrained-Untrained,Within,bugs
ant_bellpepper,AcrossThemeComparison,Between,across
ant_butterfly,Trained-Untrained,Within,bugs
ant_carrots,AcrossThemeComparison,Between,across
ant_centipide,Untrained-Foil,Within,bugs
ant_cricket,Untrained-Untrained,Within,bugs
ant_ladybug,Trained-Untrained,Within,bugs
ant_lettuce,AcrossThemeComparison,Between,across
ant_peas,AcrossThemeComparison,Between,across
ant_potato,AcrossThemeComparison,Between,across
ant_pumpkin,AcrossThemeComparison,Between,across
ant_spider,Untrained-Foil,Within,bugs
ant_tick,Untrained-Foil,Within,bugs
ant_tomato,AcrossThemeComparison,Between,across
avocado_beans,Trained-Untrained,Within,plants
avocado_bellpepper,Untrained-Untrained,Within,plants
avocado_carrots,Untrained-Foil,Within,plants
avocado_lettuce,Untrained-Foil,Within,plants
avocado_peas,Trained-Untrained,Within,plants
avocado_potato,Untrained-Foil,Within,plants
avocado_tomato,Untrained-Untrained,Within,plants
beans_bellpepper,Trained-Untrained,Within,plants
beans_carrots,Trained-Foil,Within,plants
beans_peas,Trained-Trained,Within,plants
beans_potato,Trained-Foil,Within,plants
beans_tomato,Trained-Untrained,Within,plants
bee_ant,Trained-Untrained,Within,bugs
bee_avocado,AcrossThemeComparison,Between,across
bee_beans,AcrossThemeComparison,Between,across
bee_beetle,Trained-Untrained,Within,bugs
bee_bellpepper,AcrossThemeComparison,Between,across
bee_butterfly,Trained-Trained,Within,bugs
bee_carrots,AcrossThemeComparison,Between,across
bee_centipide,Trained-Foil,Within,bugs
bee_cricket,Trained-Untrained,Within,bugs
bee_ladybug,Trained-Trained,Within,bugs
bee_lettuce,AcrossThemeComparison,Between,across
bee_peas,AcrossThemeComparison,Between,across
bee_potato,AcrossThemeComparison,Between,across
bee_pumpkin,AcrossThemeComparison,Between,across
bee_spider,Trained-Foil,Within,bugs
bee_tick,Trained-Foil,Within,bugs
bee_tomato,AcrossThemeComparison,Between,across
beetle_avocado,AcrossThemeComparison,Between,across
beetle_beans,AcrossThemeComparison,Between,across
beetle_bellpepper,AcrossThemeComparison,Between,across
beetle_carrots,AcrossThemeComparison,Between,across
beetle_lettuce,AcrossThemeComparison,Between,across
beetle_peas,AcrossThemeComparison,Between,across
beetle_potato,AcrossThemeComparison,Between,across
beetle_pumpkin,AcrossThemeComparison,Between,across
beetle_spider,Untrained-Foil,Within,bugs
beetle_tomato,AcrossThemeComparison,Between,across
bellpepper_carrots,Untrained-Foil,Within,plants
bellpepper_peas,Trained-Untrained,Within,plants
bellpepper_potato,Untrained-Foil,Within,plants
bellpepper_tomato,Untrained-Untrained,Within,plants
butterfly_avocado,AcrossThemeComparison,Between,across
butterfly_beans,AcrossThemeComparison,Between,across
butterfly_beetle,Trained-Untrained,Within,bugs
butterfly_bellpepper,AcrossThemeComparison,Between,across
butterfly_carrots,AcrossThemeComparison,Between,across
butterfly_centipide,Trained-Foil,Within,bugs
butterfly_cricket,Trained-Untrained,Within,bugs
butterfly_ladybug,Trained-Trained,Within,bugs
butterfly_lettuce,AcrossThemeComparison,Between,across
butterfly_peas,AcrossThemeComparison,Between,across
butterfly_potato,AcrossThemeComparison,Between,across
butterfly_pumpkin,AcrossThemeComparison,Between,across
butterfly_spider,Trained-Foil,Within,bugs
butterfly_tomato,AcrossThemeComparison,Between,across
centipide_avocado,AcrossThemeComparison,Between,across
centipide_beans,AcrossThemeComparison,Between,across
centipide_beetle,Untrained-Foil,Within,bugs
centipide_bellpepper,AcrossThemeComparison,Between,across
centipide_carrots,AcrossThemeComparison,Between,across
centipide_ladybug,Trained-Foil,Within,bugs
centipide_lettuce,AcrossThemeComparison,Between,across
centipide_peas,AcrossThemeComparison,Between,across
centipide_potato,AcrossThemeComparison,Between,across
centipide_pumpkin,AcrossThemeComparison,Between,across
centipide_spider,Foil-Foil,Within,bugs
centipide_tomato,AcrossThemeComparison,Between,across
cricket_avocado,AcrossThemeComparison,Between,across
cricket_beans,AcrossThemeComparison,Between,across
cricket_beetle,Untrained-Untrained,Within,bugs
cricket_bellpepper,AcrossThemeComparison,Between,across
