animal,arms,belly,big,body,circle,ears,fat,feathers,feet,flat,fur,gentle,ground,hair,hand,hands,horns,huge,large,larger,lean,legs,little,long,low,neck,nose,paws,plump,rough,round,short,sit,size,skin,skinny,small,smooth,soft,square,stout,strange,strong,tail,tails,tall,thick,thin,tiny,ugly,wide,wings
bat,0.13733902219923952,0.12155034621915163,0.15432602635658205,0.06853699283436394,0.04837978041274998,0.05689693937014526,0.16293176614171215,0.13511739527823088,0.1984283305226037,0.06261269628893262,0.25691998705221397,0.14436418874566087,0.1031304215181138,0.0788814499296668,0.07134731452081082,0.015302277600933814,-0.008783830446274257,0.12762634720883345,0.20163094694876774,0.04663978059946776,0.14371657988020153,0.1157980356359829,0.10991243028267556,0.04952260093420145,0.019712149970911166,5.274215525513067e-4,-0.03273269392284456,0.05617302735008916,0.11901505295472838,0.037458753615187,0.07388948085407324,0.06542612075291837,0.06999463142561306,0.12892014315709346,0.06326860001224754,0.12819336698399697,0.18176348989139285,0.08468224501542522,0.10792510684706343,0.046653838929405264,0.06804032419985996,0.27374334570723496,0.066244771644295,0.07035909469720579,0.024680851913609518,0.1355308888696256,0.08314214962027,0.17770116077793094,0.192991624582605,0.025797825462028093,0.22097276470766736,0.36635864698589893
crow,0.03737979768827565,-0.03585102767076008,0.049385210908248794,0.06040704137221675,0.09724295329790557,0.0528756550758449,0.035541181212217304,0.05230173982341115,0.07874272344956025,0.030722355797840138,0.029213819782922812,0.13530724834858807,0.06286261637326156,0.12915351165363795,-0.010685032668476903,0.10368203923712722,0.0904532115962187,-0.010145331507637537,0.049615083688347154,0.22178478456439465,0.06633346058881781,0.020531355842735938,0.11153894682020622,0.06379118679308053,0.1208588398451342,0.10219371287490595,0.1342430951155063,0.12172928583933085,0.09071942980132447,0.08402642226089523,0.07483946309861816,0.12546824359006362,0.06548399161463259,-0.004059073735630632,0.12281067118017587,0.09119690741486346,0.08709961383696847,0.04131965418914219,0.07461232654780124,0.09736296340385328,0.12118017885094866,0.11521545129244065,0.02597876630603933,0.03666755785537416,0.04439218345094862,-0.004490587756571379,0.03585499071294499,0.05415699651474277,0.08065210436110562,0.0660378472405604,0.10940674340579433,0.1965368093984486
deer,0.10133573750049805,0.11340501428109119,0.15896062758240173,0.14647100037006175,0.12059025649404212,0.08607333880181504,-0.03715071405192362,0.16424899572854873,0.09670889832454395,0.06482705840845204,0.05157098860024817,0.16885381456135526,0.08429876712370042,0.10415728526776295,0.04694959362720646,0.02181428736728603,0.1042181276577338,0.03451668923887328,0.07650014257467029,0.05474148604814931,0.19206118339063494,0.06962703341681209,0.17917570994752915,0.037035107212777106,0.14364953158988267,0.08961821414172529,0.1226254340646286,0.08041846646292759,0.22796266984520805,0.12691087289547603,0.10523612773900072,0.08350121664294245,0.02932398961434287,0.09860562373075069,0.1785897742112837,0.08440656326242839,0.12477360015694547,0.08031100885297217,0.057602243698195776,0.10586766803531268,-0.02356902707465801,0.14703774446051576,0.1414480902662658,0.06720437901979086,0.023004981716438316,0.1585857004305562,0.04711279360971258,0.14739883426974926,0.1240207803398556,0.1036584232348007,0.12036225209814316,0.11633835225051452
elephant,0.0903641991188747,0.11602585132826101,0.1383139544810538,0.0772919294445801,0.09679644380514331,0.12841468234875666,-0.014590664358842138,0.17764280699112334,0.0928148157966504,0.07080136274430679,0.1928755106497082,0.1403493605187446,-0.03298124729784497,0.09068606267963356,0.07123829173060317,0.0684211863442159,0.07009195213231174,0.07138440711798717,0.031442008220730275,0.03870440938611268,0.02763633862917312,0.19753501653116556,0.22299958316785928,0.15994143007613373,0.06158214832100814,0.13233827960191363,0.18141687401769868,0.079249119129051665,0.03922959327188983,0.02009541333373261,0.04115260410057309,0.09406849809986129,0.083871952793063545,0.20292371747816623,0.07898294328304392,0.07326292643307551,0.18695854027309766,0.10634269332554347,0.12027175088793901,0.07945108745513071,0.09538421942536715,0.021128356246158917,0.13193737083799592,0.11173834618494718,0.07427836301307886,0.04261745969976495,0.02790812814112758,0.06211928514167526,0.1326672827715847,0.05208884624568994,0.09887231327455083,0.06382027186534532
flamingo,0.06343218329483298,0.13249895255611283,0.12190529976490719,0.13056186859510616,0.30250203320181357,0.07551108959317769,0.12769718332617788,0.1908610783873641,0.10014728098079813,0.10830353925336289,0.12062767006365831,0.13074800802742612,0.06681704715574867,0.13369669835313625,0.047162293782744606,0.12250693515355722,0.035761605925148585,-0.004068165012851988,0.09798685522613551,0.08712900565062187,0.14379284569710973,0.10152320310179594,0.19369691725256868,0.03796740258511546,0.14827881107264557,0.1459978302893561,0.10560262410601838,0.1899983787372702,0.10459915196159678,0.03289283223388994,0.1079089020009214,0.0836921601121459,0.05897075496594418,0.06651683083905773,0.18450704770128745,0.029937343283962536,0.1458467850165246,0.13720839542448626,0.07547481594653,0.30070124247476154,0.12219005766470882,0.029644607893780112,0.03788257106215156,0.056204210160923536,0.06313668422641551,0.033488096685696,0.1493082255664454,0.04098244305153772,0.16122244798736293,0.07793987155951548,0.05342305779419405,-0.005162458596553515
giraffe,0.19626373660250354,0.17431142813755254,0.13827706171738716,0.07218248220556736,0.15528622732790162,0.10882900113099526,0.0719291364091351,0.11292757253161549,0.03335676605329391,0.04457794078127449,0.060784593277118895,0.15453563679194723,0.09881891889932017,0.037297034890193294,-0.004169103563307878,-0.042112141785243286,0.2760470490829849,0.10721349377159933,0.1309825646679105,0.06330893928128851,-0.011624818021394914,0.1978984987369789,0.15103579629457042,0.10812011728077019,0.007134841592536534,0.3791894140712582,0.17649175064761985,0.09425785143696191,0.0482610040259026,0.07314466249248462,0.08632663986938377,0.09876853249598723,0.038900430107107094,0.10351932465378252,0.002049365473584029,0.06845922120322145,0.06439327058195594,0.10352552208162522,0.09744640483929284,0.10864355160110738,0.13365939063827528,-0.003451812083826502,0.15055865868197485,0.0038594957099575148,0.140493191467304,0.16587550094621703,0.0795808459284755,0.20650146682434056,0.13932746664569315,0.09972517732266203,0.17703480636583774,0.06644514826880697
goat,-0.031331083657490676,0.00560696623355728,0.13698625852744908,0.038147409424073714,0.14498896031982111,0.09143104911610545,0.07630655293514237,0.23729749814990198,-0.020011681224156416,0.11719342423457456,0.03999050236413294,0.04492823223669507,0.10575441147418685,0.07260214885019556,0.04298256870355784,0.0345067554530897,0.11113152476567337,5.614278610467664e-4,0.08113877770066155,0.09179113125884732,0.06613009681255942,0.1521371983081325,0.13335154905292718,0.1312565819812513,0.085047884794289,0.05074236109276017,0.17728364174722647,0.038094267597337333,0.07944918124221115,0.10627035955655728,0.1299878464516713,0.08552876854559446,0.09504357969267924,0.02859899337264768,0.025280713146167515,0.07001042682946522,0.026400944222945606,0.04496158611861022,0.083762020995672,0.10473155830102215,0.11756609546952668,-0.009957913117496124,0.07553414774228853,0.12681154830915284,0.06677983582707868,0.12850957289306358,0.05178440513520126,0.06953556540411539,0.021238464371608545,0.04814488802758639,0.052222041566536585,9.863535658324553e-4
gorilla,0.23767201697010587,0.20000220035146044,0.19620224128088737,0.07085997189346642,0.16121838376895092,0.1222883749387278,-0.009862706550854736,0.06671163864053131,0.084979072888985,0.16787752427982677,0.15781165760288698,0.08666932355571809,0.04421875194220306,0.04012689640282275,-0.004484834643207699,0.14303074193251528,0.07144014518199662,0.08394077548555809,0.054936859583620795,-0.01327520881743517,0.03963200807517012,0.21948990717475958,0.11676381992759083,0.13702599133170504,0.05199743317136319,0.19822774333135798,0.13075217274912573,0.10771198279418008,0.0529266078485396,0.14345804309183943,0.03495770782809152,0.12026448672724657,0.06815898530843491,0.15606111314743382,0.04563661126185598,0.14632449444112472,0.09284024150685194,0.07152373447014898,0.07119910779612468,0.14818627593302378,0.04776498540024423,-0.022641264452199123,0.15249653286940965,0.08022462754906588,0.11624783732011698,0.13953340595992722,0.008187753562125295,0.15127262742472328,0.20472802189365505,0.1737087500629288,0.1216472976530789,0.18011658481562473
hippo,0.060682214023686835,0.32051355723255986,0.09597516680271732,-0.117414446605501,0.2085431557833067,0.12564603958446133,0.054277432719933245,0.08005912605039324,0.052799313223608944,0.04613705274648263,0.046355014713120334,-0.012735188900121505,-0.07024292968778313,0.03115967130169618,0.060891696786742,0.1473897494149671,0.17718907201981435,0.10350007251741514,0.14253368841687525,0.04480187813696615,0.024082416378098822,0.05722108504333324,0.10230971239554823,0.09047919377435548,0.1141010324942261,0.1091404377939217,0.02560456701878761,0.029769119620413377,0.017694234798994752,0.1555538339435978,0.029752129499086087,0.03066575542861342,0.15709831791396328,0.12830629510235417,0.07612203531891566,0.13501571449339747,0.1867319220580288,0.07120576085484745,0.07135383921582168,0.15099549607137142,0.062335352562989346,0.02075605054343118,0.08405396844377472,-0.0014029739878999507,0.13983580863818845,0.07856402341650555,0.0790271334509128,0.12963071242237711,0.19418053286394796,0.039898237446422895,0.049528726781727705,0.04115956440941124
lion,-0.044722862892301075,0.09452281076529101,0.03476131396520325,0.1836570715006144,0.09939933460769165,0.12312483190897584,0.030804647080692416,0.08386567868762902,0.07722036029804043,0.024967372259053724,0.0382928859183742,0.0046251243990690135,0.02560677980426412,0.04701241973524883,0.04778053502505194,0.0972681100182921,0.05988358169415146,0.01619597432793841,0.01678931217350813,0.09396444256603692,0.1051155093138644,0.03612050225889049,0.15840326180706654,0.09269708137466866,0.09648320838140978,0.15657172423360755,0.07958008410671433,0.12725891068782627,0.17905551943212258,0.062465816380814956,0.04372956606702623,0.058823973695016574,0.08976531623003323,0.01616936034159101,0.13418036316727458,0.0822516733224169,0.08233139480107407,0.07590559485684946,0.08846419659135134,0.1597957675914897,0.021633397998098616,0.043704599834673216,0.015727561374125808,-0.009175092764111173,0.0681225866518808,0.12632539831838716,-0.0038462911286853848,0.02312604947681341,0.08379652247484715,0.10982293883118893,0.07878816010301884,-0.004721327337224605
