animal1,animal2,language_similarity_simple_dist_shape
bat,bat,0
crow,bat,0.6894743102629304
deer,bat,0.6069202538715682
elephant,bat,0.6762574159784134
flamingo,bat,0.7800692229890371
giraffe,bat,0.812729705052837
goat,bat,0.8006606470716648
gorilla,bat,0.6958738809170942
hippo,bat,0.789482057524693
lion,bat,0.7890413613063588
llama,bat,0.6631890260666881
panda,bat,0.635423943171434
pig,bat,0.7347101265313492
pigeon,bat,0.6656865399388661
shark,bat,0.603694265193682
sheep,bat,0.618349136947266
skunk,bat,0.6648449740997744
swan,bat,0.6600416024716954
zebra,bat,0.7963229820845759
bat,crow,0.6894743102629304
crow,crow,0
deer,crow,0.5098230287512686
elephant,crow,0.574650313351199
flamingo,crow,0.570187024857583
giraffe,crow,0.7016292830891174
goat,crow,0.5072829787008856
gorilla,crow,0.6716587194805079
hippo,crow,0.6852373691141488
lion,crow,0.45309188200727013
llama,crow,0.4997059433079654
panda,crow,0.487795950823997
pig,crow,0.5718573605612813
pigeon,crow,0.5433344379455827
shark,crow,0.5153059937733293
sheep,crow,0.5888528423840895
skunk,crow,0.5946114071949015
swan,crow,0.554198789013497
zebra,crow,0.6040436715835275
bat,deer,0.6069202538715682
crow,deer,0.5098230287512686
deer,deer,0
elephant,deer,0.5188815634054177
flamingo,deer,0.536492009767407
giraffe,deer,0.638078230996717
goat,deer,0.5480251106145829
gorilla,deer,0.5606245603973651
hippo,deer,0.6712484893241215
lion,deer,0.4752391761882704
llama,deer,0.4761808524379191
panda,deer,0.4530225733656115
pig,deer,0.5848426729894038
pigeon,deer,0.4947561958069772
shark,deer,0.4882569752230797
sheep,deer,0.521641853659059
skunk,deer,0.46850142176962356
swan,deer,0.558118323329465
zebra,deer,0.626706614364488
bat,elephant,0.6762574159784134
crow,elephant,0.574650313351199
deer,elephant,0.5188815634054177
elephant,elephant,0
flamingo,elephant,0.5484482304919498
giraffe,elephant,0.5680393826055627
goat,elephant,0.5095671039104714
gorilla,elephant,0.45505872694939004
hippo,elephant,0.586369378056238
lion,elephant,0.5469161319581839
llama,elephant,0.4485962381657696
panda,elephant,0.5291176891389344
pig,elephant,0.5096555711022018
pigeon,elephant,0.5652307178531953
shark,elephant,0.49163419532427005
sheep,elephant,0.5592051307171697
skunk,elephant,0.5013895148445267
swan,elephant,0.5413943589966467
zebra,elephant,0.4828008406391953
bat,flamingo,0.7800692229890371
crow,flamingo,0.570187024857583
deer,flamingo,0.536492009767407
elephant,flamingo,0.5484482304919498
flamingo,flamingo,0
giraffe,flamingo,0.6994091443954871
goat,flamingo,0.5645126143390978
gorilla,flamingo,0.6417679500021802
hippo,flamingo,0.6457002084119989
lion,flamingo,0.5058062790396067
llama,flamingo,0.5941808390547691
panda,flamingo,0.5526656187459595
pig,flamingo,0.5786662302634211
pigeon,flamingo,0.5768031271418764
shark,flamingo,0.5373027201119416
sheep,flamingo,0.5927068068312146
skunk,flamingo,0.5905703532570173
swan,flamingo,0.6290233778025502
zebra,flamingo,0.4509954714014463
bat,giraffe,0.812729705052837
crow,giraffe,0.7016292830891174
deer,giraffe,0.638078230996717
elephant,giraffe,0.5680393826055627
flamingo,giraffe,0.6994091443954871
giraffe,giraffe,0
goat,giraffe,0.6305893105862094
gorilla,giraffe,0.502594449279175
hippo,giraffe,0.6560011910722824
lion,giraffe,0.6885588093505102
llama,giraffe,0.6007893181853837
panda,giraffe,0.5756837869614497
pig,giraffe,0.7339238391780586
pigeon,giraffe,0.6341998407647672
shark,giraffe,0.6619015645302841
sheep,giraffe,0.6362798542350105
skunk,giraffe,0.6732099147953476
swan,giraffe,0.7051451136298583
zebra,giraffe,0.5303103836254559
bat,goat,0.8006606470716648
crow,goat,0.5072829787008856
deer,goat,0.5480251106145829
elephant,goat,0.5095671039104714
flamingo,goat,0.5645126143390978
giraffe,goat,0.6305893105862094
goat,goat,0
gorilla,goat,0.6399447100452827
hippo,goat,0.6464954051979114
lion,goat,0.4890360268938878
llama,goat,0.5148642057777922
panda,goat,0.6167586147392548
pig,goat,0.4811110415801633
pigeon,goat,0.5158592932184453
shark,goat,0.46838633204979724
sheep,goat,0.5409597131997896
skunk,goat,0.5546786562612543
swan,goat,0.548226632137542
zebra,goat,0.5077747182808007
bat,gorilla,0.6958738809170942
crow,gorilla,0.6716587194805079
deer,gorilla,0.5606245603973651
elephant,gorilla,0.45505872694939004
flamingo,gorilla,0.6417679500021802
giraffe,gorilla,0.502594449279175
goat,gorilla,0.6399447100452827
gorilla,gorilla,0
hippo,gorilla,0.5724839280057757
lion,gorilla,0.6423124021189915
llama,gorilla,0.520769500908549
panda,gorilla,0.5526378366307402
pig,gorilla,0.5914268837714064
pigeon,gorilla,0.5818762088498032
shark,gorilla,0.5790464669618709
sheep,gorilla,0.5128663439509124
skunk,gorilla,0.5465593969650566
swan,gorilla,0.5825435404476781
zebra,gorilla,0.5942402994322356
bat,hippo,0.789482057524693
crow,hippo,0.6852373691141488
