folder_name,reference,repo_link
vales_stevens_fisher_jecp,"Vales, C., Stevens, P., Fisher, A.V. (in press). Lumping and Splitting: Developmental changes in the structure of children's semantic networks. Journal of Experimental Child Psychology",https://osf.io/vjkcm/
vales_states_fisher_cd,"Vales, C., States, S.L. & Fisher, A.F. (2020). Experience-driven semantic differentiation: Effects of a naturalistic experience on within- and across-domain differentiation in children. Child Development, 91(3), 733-742.",https://osf.io/g5t94/
